#	op	A1	A2	Res
1	=	5	-	t1
2	=	t1	-	a
3	=	5	-	t2
4	*	a	t2	t3
5	=	10	-	t4
6	+	t3	t4	t5
7	=	t5	-	c
8	=	5	-	t6
9	*	a	t6	t7
10	=	10	-	t8
11	+	t7	t8	t9
12	=	t9	-	d
13	=	46	-	t10
14	=	t10	-	a
15	=	5	-	t11
16	*	a	t11	t12
17	=	10	-	t13
18	+	t12	t13	t14
19	=	t14	-	e
20	=	5	-	t15
21	*	a	t15	t16
22	=	10	-	t17
23	+	t16	t17	t18
24	=	t18	-	f
25	=	addr([10,20])	-	t19
26	=	t19	-	i
27	LABEL	-	-	L7
28	+	t19	2	t35
29	<	i	t35	t36
30	IF	t36	-	L8
31	GOTO	-	-	L9
32	LABEL	-	-	L8
33	=	t19[i]	-	t37
34	=	"ha"	-	t20
35	PRINT	t20	-	-
36	=	1	-	t21
37	=	2	-	t22
38	+	t21	t22	t23
39	=	5	-	t24
40	=	5	-	t25
41	*	t24	t25	t26
42	+	t23	t26	t27
43	=	t27	-	j
44	LABEL	-	-	L4
45	IF	TRUE	-	L5
46	GOTO	-	-	L6
47	LABEL	-	-	L5
48	=	2	-	t28
49	=	5	-	t29
50	=	5	-	t30
51	*	t29	t30	t31
52	+	t28	t31	t32
53	=	t32	-	h
54	=	"hello"	-	t33
55	PRINT	t33	-	-
56	LABEL	-	-	L1
57	IF	FALSE	-	L2
58	GOTO	-	-	L3
59	LABEL	-	-	L2
60	=	"fellow"	-	t34
61	PRINT	t34	-	-
62	GOTO	-	-	L1
63	LABEL	-	-	L3
64	GOTO	-	-	L4
65	LABEL	-	-	L6
66	+	i	1	t38
67	=	t38	-	i
68	GOTO	-	-	L7
69	LABEL	-	-	L9
