#	op	A1	A2	Res
1	=	1	-	t1
2	=	t1	-	a
3	=	2	-	t2
4	=	t2	-	b
5	=	3	-	t3
6	=	t3	-	c
7	=	8	-	t4
8	=	t4	-	P
9	PRINT	a	-	-
10	IMPORT	d	-	-
11	=	1	-	t5
12	+	a	t5	t6
13	=	t6	-	a
14	=	5	-	t7
15	==	a	t7	t8
16	=	5	-	t9
17	<=	a	t9	t10
18	=	5	-	t11
19	//	b	t11	t12
20	=	t12	-	c
21	LABEL	-	-	L4
22	IF	TRUE	-	L5
23	GOTO	-	-	L6
24	LABEL	-	-	L5
25	=	"hello"	-	t13
26	PRINT	t13	-	-
27	=	0	-	i
28	LABEL	-	-	L1
29	<	i	10	t14
30	IF	t14	-	L2
31	GOTO	-	-	L3
32	LABEL	-	-	L2
33	PRINT	i	-	-
34	+	i	1	t15
35	=	t15	-	i
36	GOTO	-	-	L1
37	LABEL	-	-	L3
38	GOTO	-	-	L4
39	LABEL	-	-	L6
