#	op	A1	A2	Res
1	=	1	-	t1
2	=	1	-	a
3	=	2	-	t2
4	=	2	-	b
5	=	3	-	t3
6	=	3	-	c
7	=	8	-	t4
8	=	5	-	t5
9	=	8	-	t6
10	=	40	-	t7
11	=	48	-	t8
12	=	9	-	t9
13	=	39	-	t10
14	=	39	-	P
15	PRINT	a	-	-
16	IMPORT	a	-	-
17	=	1	-	t11
18	=	2	-	t12
19	=	2	-	a
20	=	5	-	t13
21	=	False	-	t14
22	=	5	-	t15
23	=	True	-	t16
24	=	5	-	t17
25	=	0	-	t18
26	=	0	-	c
27	=	TRUE	-	k
28	=	addr([1,2,3,4,5])	-	t19
29	=	t19	-	h
30	=	addr([10,20])	-	t20
31	=	t20	-	i
32	Label	-	-	L7
33	+	t20	2	t26
34	<	i	t26	t27
35	IF	t27	-	L8
36	GOTO	-	-	L9
37	Label	-	-	L8
38	=	t20[i]	-	t28
39	=	"ha"	-	t21
40	PRINT	t21	-	-
41	=	0	-	t22
42	=	0	-	j
43	Label	-	-	L4
44	IF	TRUE	-	L5
45	GOTO	-	-	L6
46	Label	-	-	L5
47	=	2	-	t23
48	=	2	-	h
49	=	"hello"	-	t24
50	PRINT	t24	-	-
51	Label	-	-	L1
52	IF	FALSE	-	L2
53	GOTO	-	-	L3
54	Label	-	-	L2
55	=	"fellow"	-	t25
56	PRINT	t25	-	-
57	GOTO	-	-	L1
58	Label	-	-	L3
59	GOTO	-	-	L4
60	Label	-	-	L6
61	+	i	1	t29
62	=	t29	-	i
63	GOTO	-	-	L7
64	Label	-	-	L9
