#	op	A1	A2	Res
1	=	1	-	t1
2	=	1	-	a
3	=	2	-	t2
4	=	2	-	b
5	=	3	-	t3
6	=	3	-	c
7	=	8	-	t4
8	=	5	-	t5
9	=	40	-	t7
10	=	48	-	t8
11	=	9	-	t9
12	=	39	-	t10
13	=	39	-	P
14	PRINT	1	-	-
15	IMPORT	a	-	-
16	=	2	-	t12
17	=	2	-	a
18	=	False	-	t14
19	=	True	-	t16
20	=	0	-	t18
21	=	0	-	c
22	=	TRUE	-	k
23	=	addr([1,2,3,4,5])	-	t19
24	=	t19	-	h
25	=	addr([10,20])	-	t20
26	=	t20	-	i
27	=	"ha"	-	t21
28	Label	-	-	L7
29	+	t20	2	t26
30	<	i	t26	t27
31	IF	t27	-	L8
32	GOTO	-	-	L9
33	Label	-	-	L8
34	=	t20[i]	-	t28
35	PRINT	"ha"	-	-
36	=	0	-	t22
37	=	0	-	j
38	=	2	-	h
39	=	"hello"	-	t24
40	=	"fellow"	-	t25
41	Label	-	-	L4
42	IF	TRUE	-	L5
43	GOTO	-	-	L6
44	Label	-	-	L5
45	PRINT	"hello"	-	-
46	Label	-	-	L1
47	IF	FALSE	-	L2
48	GOTO	-	-	L3
49	Label	-	-	L2
50	PRINT	"fellow"	-	-
51	GOTO	-	-	L1
52	Label	-	-	L3
53	GOTO	-	-	L4
54	Label	-	-	L6
55	+	i	1	t29
56	=	t29	-	i
57	GOTO	-	-	L7
58	Label	-	-	L9
