#	op	A1	A2	Res
1	=	1	-	t1
2	=	t1	-	a
3	=	2	-	t2
4	=	t2	-	b
5	=	3	-	t3
6	=	t3	-	c
7	=	8	-	t4
8	=	5	-	t5
9	*	t5	t4	t7
10	+	t4	t7	t8
11	=	9	-	t9
12	-	t8	t9	t10
13	=	t10	-	P
14	=	t10	-	Q
15	PRINT	a	-	-
16	IMPORT	math	-	-
17	+	a	t1	t19
18	=	t19	-	a
19	==	a	t5	t21
20	<=	a	t5	t23
21	//	b	t5	t25
22	=	t25	-	c
23	=	TRUE	-	k
24	=	1.5	-	t26
25	=	t26	-	d
26	=	addr([1,2,3,4,5])	-	t27
27	=	t27	-	h
28	=	addr([10,20])	-	t28
29	=	t28	-	i
30	LABEL	-	-	L7
31	+	t28	2	t34
32	<	i	t34	t35
33	IF	t35	-	L8
34	GOTO	-	-	L9
35	LABEL	-	-	L8
36	=	t28[i]	-	t36
37	=	"ha"	-	t29
38	PRINT	t29	-	-
39	=	a	-	j
40	LABEL	-	-	L4
41	IF	TRUE	-	L5
42	GOTO	-	-	L6
43	LABEL	-	-	L5
44	=	t2	-	h
45	=	t4	-	z
46	=	"hello"	-	t32
47	PRINT	t32	-	-
48	LABEL	-	-	L1
49	IF	FALSE	-	L2
50	GOTO	-	-	L3
51	LABEL	-	-	L2
52	=	"fellow"	-	t33
53	PRINT	t33	-	-
54	GOTO	-	-	L1
55	LABEL	-	-	L3
56	GOTO	-	-	L4
57	LABEL	-	-	L6
58	+	i	1	t37
59	=	t37	-	i
60	GOTO	-	-	L7
61	LABEL	-	-	L9
