#	op	A1	A2	Res
1	=	1	-	t1
2	=	t1	-	a
3	PRINT	a	-	-
4	IMPORT	math	-	-
5	=	1	-	t18
6	+	a	t18	t19
7	=	t19	-	a
8	=	addr([10,20])	-	t28
9	=	t28	-	i
10	LABEL	-	-	L7
11	+	t28	2	t34
12	<	i	t34	t35
13	IF	t35	-	L8
14	GOTO	-	-	L9
15	LABEL	-	-	L8
16	=	ha	-	t29
17	PRINT	t29	-	-
18	LABEL	-	-	L4
19	IF	TRUE	-	L5
20	GOTO	-	-	L6
21	LABEL	-	-	L5
22	=	hello	-	t32
23	PRINT	t32	-	-
24	LABEL	-	-	L1
25	IF	FALSE	-	L2
26	GOTO	-	-	L3
27	LABEL	-	-	L2
28	=	fellow	-	t33
29	PRINT	t33	-	-
30	GOTO	-	-	L1
31	LABEL	-	-	L3
32	GOTO	-	-	L4
33	LABEL	-	-	L6
34	+	i	1	t37
35	=	t37	-	i
36	GOTO	-	-	L7
37	LABEL	-	-	L9
