#	op	A1	A2	Res
1	=	1	-	t1
2	=	1	-	a
3	=	2	-	t2
4	=	2	-	b
5	=	3	-	t3
6	=	3	-	c
7	=	8	-	t4
8	=	5	-	t5
9	=	8	-	t6
10	=	40	-	t7
11	=	48	-	t8
12	=	9	-	t9
13	=	39	-	t10
14	=	39	-	P
15	=	8	-	t11
16	=	5	-	t12
17	=	8	-	t13
18	=	40	-	t14
19	=	48	-	t15
20	=	9	-	t16
21	=	39	-	t17
22	=	39	-	Q
23	PRINT	1	-	-
24	IMPORT	math	-	-
25	=	1	-	t18
26	=	2	-	t19
27	=	2	-	a
28	=	5	-	t20
29	=	False	-	t21
30	=	5	-	t22
31	=	True	-	t23
32	=	5	-	t24
33	=	0	-	t25
34	=	0	-	c
35	=	TRUE	-	k
36	=	1.5	-	t26
37	=	1.5	-	d
38	=	addr([1,2,3,4,5])	-	t27
39	=	t27	-	h
40	=	addr([10,20])	-	t28
41	=	t28	-	i
42	LABEL	-	-	L7
43	+	t28	2	t34
44	<	i	t34	t35
45	IF	t35	-	L8
46	GOTO	-	-	L9
47	LABEL	-	-	L8
48	=	t28[i]	-	t36
49	=	"ha"	-	t29
50	PRINT	"ha"	-	-
51	=	2	-	j
52	LABEL	-	-	L4
53	IF	TRUE	-	L5
54	GOTO	-	-	L6
55	LABEL	-	-	L5
56	=	2	-	t30
57	=	2	-	h
58	=	8	-	t31
59	=	8	-	z
60	=	"hello"	-	t32
61	PRINT	"hello"	-	-
62	LABEL	-	-	L1
63	IF	FALSE	-	L2
64	GOTO	-	-	L3
65	LABEL	-	-	L2
66	=	"fellow"	-	t33
67	PRINT	"fellow"	-	-
68	GOTO	-	-	L1
69	LABEL	-	-	L3
70	GOTO	-	-	L4
71	LABEL	-	-	L6
72	+	i	1	t37
73	=	t37	-	i
74	GOTO	-	-	L7
75	LABEL	-	-	L9
