#	op	A1	A2	Res
1	=	1	-	t1
2	=	t1	-	a
3	=	2	-	t2
4	=	t2	-	b
5	=	3	-	t3
6	=	t3	-	c
7	=	8	-	t4
8	=	5	-	t5
9	*	t4	t5	t6
10	=	6	-	t7
11	+	t6	t7	t8
12	=	t8	-	P
13	=	t8	-	e
14	PRINT	a	-	-
15	IMPORT	d	-	-
16	+	a	t1	t15
17	=	t15	-	a
18	<=	a	t5	t17
19	//	b	t5	t19
20	=	t19	-	c
21	LABEL	-	-	L4
22	IF	TRUE	-	L5
23	GOTO	-	-	L6
24	LABEL	-	-	L5
25	=	"hello"	-	t20
26	PRINT	t20	-	-
27	=	0	-	i
28	LABEL	-	-	L1
29	<	i	10	t21
30	IF	t21	-	L2
31	GOTO	-	-	L3
32	LABEL	-	-	L2
33	PRINT	i	-	-
34	+	i	1	t22
35	=	t22	-	i
36	GOTO	-	-	L1
37	LABEL	-	-	L3
38	GOTO	-	-	L4
39	LABEL	-	-	L6
