#	op	A1	A2	Res
1	=	1	-	t1
2	=	1	-	a
3	=	2	-	t2
4	=	2	-	b
5	=	3	-	t3
6	=	3	-	c
7	=	8	-	t4
8	=	5	-	t5
9	=	40	-	t7
10	=	48	-	t8
11	=	9	-	t9
12	=	39	-	t10
13	=	39	-	P
14	PRINT	a	-	-
15	IMPORT	a	-	-
16	=	2	-	t12
17	=	2	-	a
18	=	False	-	t14
19	=	True	-	t16
20	=	0	-	t18
21	=	0	-	c
22	=	TRUE	-	k
23	=	addr([1,2,3,4,5])	-	t19
24	=	t19	-	h
25	=	addr([10,20])	-	t20
26	=	t20	-	i
27	Label	-	-	L7
28	+	t20	2	t26
29	<	i	t26	t27
30	IF	t27	-	L8
31	GOTO	-	-	L9
32	Label	-	-	L8
33	=	t20[i]	-	t28
34	=	"ha"	-	t21
35	PRINT	t21	-	-
36	=	0	-	t22
37	=	0	-	j
38	Label	-	-	L4
39	IF	TRUE	-	L5
40	GOTO	-	-	L6
41	Label	-	-	L5
42	=	2	-	h
43	=	"hello"	-	t24
44	PRINT	t24	-	-
45	Label	-	-	L1
46	IF	FALSE	-	L2
47	GOTO	-	-	L3
48	Label	-	-	L2
49	=	"fellow"	-	t25
50	PRINT	t25	-	-
51	GOTO	-	-	L1
52	Label	-	-	L3
53	GOTO	-	-	L4
54	Label	-	-	L6
55	+	i	1	t29
56	=	t29	-	i
57	GOTO	-	-	L7
58	Label	-	-	L9
