#	op	A1	A2	Res
1	=	5	-	t1
2	=	t1	-	a
3	*	a	t1	t3
4	=	10	-	t4
5	+	t3	t4	t5
6	=	t5	-	c
7	=	t5	-	d
8	=	46	-	t10
9	=	t10	-	a
10	*	a	t1	t12
11	+	t12	t4	t14
12	=	t14	-	e
13	=	t14	-	f
14	=	addr([10,20])	-	t19
15	=	t19	-	i
16	LABEL	-	-	L7
17	+	t19	2	t35
18	<	i	t35	t36
19	IF	t36	-	L8
20	GOTO	-	-	L9
21	LABEL	-	-	L8
22	=	t19[i]	-	t37
23	=	"ha"	-	t20
24	PRINT	t20	-	-
25	=	1	-	t21
26	=	2	-	t22
27	+	t21	t22	t23
28	*	t1	t1	t26
29	+	t23	t26	t27
30	=	t27	-	j
31	LABEL	-	-	L4
32	IF	TRUE	-	L5
33	GOTO	-	-	L6
34	LABEL	-	-	L5
35	+	t22	t26	t32
36	=	t32	-	h
37	=	"hello"	-	t33
38	PRINT	t33	-	-
39	LABEL	-	-	L1
40	IF	FALSE	-	L2
41	GOTO	-	-	L3
42	LABEL	-	-	L2
43	=	"fellow"	-	t34
44	PRINT	t34	-	-
45	GOTO	-	-	L1
46	LABEL	-	-	L3
47	GOTO	-	-	L4
48	LABEL	-	-	L6
49	+	i	1	t38
50	=	t38	-	i
51	GOTO	-	-	L7
52	LABEL	-	-	L9
