#	op	A1	A2	Res
1	=	1	-	t1
2	=	t1	-	a
3	=	2	-	t2
4	=	t2	-	b
5	=	3	-	t3
6	=	t3	-	c
7	=	8	-	t4
8	=	t4	-	P
9	PRINT	a	-	-
10	IMPORT	a	-	-
11	=	1	-	t5
12	+	a	t5	t6
13	=	t6	-	a
14	=	5	-	t7
15	==	a	t7	t8
16	=	5	-	t9
17	<=	a	t9	t10
18	=	5	-	t11
19	//	b	t11	t12
20	=	t12	-	c
21	=	[10,20]	-	t13
22	=	t13	-	i
23	Label	-	-	L7
24	+	t13	2	t18
25	<	i	t18	t19
26	IF	t19	-	L8
27	GOTO	-	-	L9
28	Label	-	-	L8
29	=	"ha"	-	t14
30	PRINT	t14	-	-
31	=	0	-	t15
32	=	t15	-	j
33	Label	-	-	L4
34	IF	TRUE	-	L5
35	GOTO	-	-	L6
36	Label	-	-	L5
37	=	"hello"	-	t16
38	PRINT	t16	-	-
39	Label	-	-	L1
40	IF	FALSE	-	L2
41	GOTO	-	-	L3
42	Label	-	-	L2
43	=	"fellow"	-	t17
44	PRINT	t17	-	-
45	GOTO	-	-	L1
46	Label	-	-	L3
47	GOTO	-	-	L4
48	Label	-	-	L6
49	+	i	1	t20
50	=	t20	-	i
51	GOTO	-	-	L7
52	Label	-	-	L9
